lang	sid	cid	verdict	reason
ind	11908	7	UNSURE	melalui as through-preposition vs traverse verb sense
ind	11909	16	BAD	dan here is plain and, not besides/furthermore
ind	11910	7	GOOD	sedang marks ongoing action menggeliat-geliat
ind	11910	9	GOOD	bersama means together, at same time fits
ind	11911	13	BAD	dan here is plain list and, not besides
ind	11912	0	GOOD	namun means by contrast, fits context
ind	11913	14	GOOD	sedang marks ongoing action merayap
ind	11913	17	GOOD	tepi jalan means edge/border of road, matches
ind	11913	18	GOOD	jalan means street/road, matches thoroughfare
ind	11913	4	GOOD	sedang marks ongoing action melintasi
ind	11913	8	BAD	dan is sequential and, not besides/furthermore
ind	11914	5	BAD	dan is sequential and, not besides/furthermore
ind	11921	12	GOOD	bisa means capable/able here, matches
ind	11922	2	GOOD	saat means moment, matches
ind	11922	28	GOOD	di atas means above/overhead, matches
ind	11922	5	UNSURE	ke samping directional, fit to outward sense unclear
ind	11923	8	BAD	dan is sequential and, not besides/furthermore
ind	11925	11	GOOD	bersama means jointly/together with, matches
ind	11925	9	GOOD	-nya possessive pronoun suffix, matches
ind	11926	4	GOOD	pun mana pun means in any case, matches
ind	11929	1	GOOD	lagi ditambah lagi means any/besides, matches
ind	11929	3	GOOD	-nya possessive pronoun suffix, matches
ind	11930	16	BAD	lagi tidak lagi means anymore, not besides
ind	11930	2	BAD	sampai here means until/reach, not exert effort
ind	11930	23	BAD	sampai ke means until reaching, not exert effort
ind	11931	15	BAD	dan is plain list and, not besides/furthermore
ind	11931	8	GOOD	pun here is intensive even, matches
ind	11932	5	BAD	dan is sequential and, not besides/furthermore
ind	11935	0	GOOD	jika means if in case, matches conditional
ind	11935	3	BAD	dan explicitly plain and per comment
ind	11937	0	GOOD	sembari means at same time/concurrently, matches
ind	11937	24	GOOD	ke atas means upward, matches
ind	11939	0	GOOD	namun means by contrast, matches
ind	11939	27	GOOD	sampai ke atas means reach the top, matches
ind	11939	30	GOOD	ke atas means upward direction, matches
ind	11939	32	BAD	tidak akan is future negator will not, not unable
ind	11943	0	GOOD	sambil means while, simultaneity matches
ind	11944	10	GOOD	telah means already, prior time marker matches
ind	11947	17	GOOD	beberapa tahun means several years, quantifier fits
ind	11947	25	GOOD	oleh karena itu means therefore, matches
ind	11947	9	BAD	dan explicitly plain and per comment
ind	11952	8	BAD	ke atas is directional upward, not adjective upper
ind	11953	5	BAD	dan explicitly plain and per comment
ind	11954	6	BAD	dan explicitly plain and per comment
ind	11956	0	GOOD	jika means if in case, conditional matches
ind	11956	13	BAD	dan explicitly plain and per comment
ind	11956	22	GOOD	harus is need/must modal, lemma listed in synset
ind	11956	25	BAD	jungkir balik is idiom topsy-turvy, not return
ind	11956	26	BAD	dan explicitly plain and per comment
ind	11956	30	GOOD	seperti means as/like comparison, matches
ind	11957	3	GOOD	jika means if in case, matches
ind	11958	3	BAD	tengah here is aspect marker in process of, not noun middle
ind	11959	0	GOOD	jika means if in case, matches
ind	11959	14	BAD	dan explicitly plain and per comment
ind	11959	16	BAD	pun here means also/too, not intensive even
ind	11964	0	GOOD	ayo means come on, matches interjection sense
ind	11966	1	GOOD	pun here means even, emphatic unexpected fits
ind	11967	0	BAD	dalam sekejap is temporal in, not spatial inside
ind	11967	10	BAD	dan explicitly plain and, lemma comment confirms
ind	11967	16	GOOD	jatuh ke dasar means fall to lower place, matches
ind	11968	21	BAD	dan is plain list and, not besides
ind	11970	8	GOOD	sambil means while, simultaneity matches
ind	11971	22	GOOD	tanpa tujuan means aimlessly, direct match
ind	11972	22	BAD	kembali ke here is adverb again, not noun restitution
ind	11972	23	GOOD	jatuh ke means fall to lower place, matches
ind	11972	8	BAD	dan is plain list and, not besides
ind	11974	10	BAD	pun here part of sedikit pun idiom, not besides
ind	11974	14	GOOD	sedikit pun means not even a bit, quantity noun fits
ind	11976	10	BAD	dan is plain list and, not besides
ind	11977	5	GOOD	tengah hari is idiom noon, hari as time period fits
ita	10003	51	BAD	Occuparsi di = handle/deal with, not hire for work
ita	10004	9	GOOD	Ricordarne matches recall knowledge from memory
ita	10022	2	GOOD	Rapidamente matches quickly/rapid movement adverb sense
ita	10024	4	GOOD	Allegramente matches cheerfully manner
ita	10026	13	GOOD	Davanti matches before/in front of sense
ita	10026	7	GOOD	Davanti matches before/in front of sense
ita	10027	5	GOOD	Signora Hudson matches Mrs address title
ita	10082	17	GOOD	Interamente matches wholly/entirely to full extent
ita	10092	11	BAD	Context implies general contact, not journalist correspondent
ita	10092	33	GOOD	Quasi matches almost/nearly sense
ita	10109	0	GOOD	Perfettamente as reply matches perfectly/exactly
ita	10111	20	GOOD	Turbata matches disturbed/uneasy in mind
ita	10112	4	GOOD	Venne matches came/moved toward
ita	10114	13	BAD	Refers to time of night, not sleep period
ita	10115	8	GOOD	Certamente matches definitely/positively
ita	10118	1	BAD	Pensare di + inf = intend, not suppose/believe
ita	10190	2	GOOD	Saggiamente matches acted wisely
ita	10192	3	GOOD	Avete fatto matches get something done
ita	10210	0	BAD	POS mismatch: Assolutamente is adverb, synset is adjective
ita	10237	9	GOOD	Improvvisamente matches suddenly/without warning
ita	10240	16	GOOD	Altro matches not the same one/other
ita	10402	4	GOOD	Documenti matches official informational writing
ita	10431	2	BAD	"Modal ""can/may"" wrongly linked to preserve-in-tin sense"
ita	10443	29	BAD	"Modal ""can/may"" wrongly linked to preserve-in-tin sense"
ita	10547	1	BAD	POS mismatch: improvvisamente is adverb, synset is adjective
ita	10547	23	BAD	POS mismatch: continuamente is adverb, synset is adjective
ita	10548	13	BAD	POS mismatch: furiosamente is adverb, synset is adjective
ita	10551	26	BAD	POS mismatch: selvaggiamente is adverb, synset is adjective
ita	10552	6	GOOD	Mortalmente pallida matches intensifier mortally sense
ita	10581	2	BAD	POS mismatch: rapidamente is adverb, synset is adjective
jpn	295	12	BAD	Sense is spatial extend/reach, not arrival of letters
jpn	388	7	BAD	ISP account differs from banking/brokerage business relationship
jpn	576	8	GOOD	Kiku matches hear with intention/listen
