lang	clemma	op	synset	verdict	reason	n_occurrences
cmn	自选	=	01060947-a	BAD	means optional/self-chosen, not detached	2
cmn	至上主义	=	00792202-a	GOOD	至上 component matches paramount	1
cmn	至上主义	=	05916739-n	UNSURE	annotator flagged uncertain with ?	1
cmn	舞人	=	00007846-n	GOOD	人 component matches person	1
cmn	舞人	=	01894649-v	GOOD	跳舞 component matches dance	1
cmn	航空	=	02690081-n	GOOD	MWE component of airline company	2
cmn	航空	=	90000093-n	GOOD	MWE component of Singapore Airlines	1
cmn	良	=	12356960-n	BAD	single char, should be 良姜	1
cmn	花钱	=	02267060-v	GOOD	花 component matches spend	1
cmn	花钱	=	13384557-n	GOOD	钱 component matches money	1
cmn	花香	=	04980008-n	BAD	too broad, general smell not fragrance	1
cmn	花香	=	05714466-n	GOOD	matches pleasant fragrance	1
cmn	花香	~	04980463-n	GOOD	related sweet scent, op is related	1
cmn	若吉	=	80000511-n	BAD	should be 若吉舞, not 若吉 alone	1
cmn	茶座	=	02935658-n	GOOD	context matches cafe per annotator note	1
cmn	茶座	=	04398497-n	BAD	teahouse sense wrong for this context	1
cmn	药	=	80001601-n	BAD	single char, should be 药妆(品)	1
cmn	获	=	13296460-n	GOOD	MWE head of idiom 略有所获	1
cmn	菜	=	07555863-n	GOOD	matches food/solid food	1
cmn	营	=	01277426-a	BAD	single char, should be 主营	2
cmn	蔬果	=	07707451-n	GOOD	compositional vegetable component	1
cmn	蔬果	=	13134947-n	GOOD	compositional fruit component	1
cmn	薄	=	03016868-n	BAD	single char, should be 薄绸	1
cmn	虽则	=	00028797-r	GOOD	"matches ""however"""	1
cmn	虾蓉	=	07794159-n	GOOD	compositional shrimp component	2
cmn	虾蓉	=	07856270-n	GOOD	compositional paste component	2
cmn	融洽	=	07180183-n	GOOD	matches harmony/concordance	1
cmn	血汗	=	00621627-n	GOOD	matches effort/sweat/toil	1
cmn	行	=	02226162-a	BAD	single char, should be 在行	1
cmn	表面化	=	01873406-a	GOOD	matches superficial/apparent	1
cmn	衬里儿	=	02728440-n	GOOD	衬 component already in lemma list	1
cmn	衬里儿	=	80000001-n	GOOD	里 component already in lemma list	1
cmn	要	=	00112393-r	BAD	single char, meaning from phrase 一定要	1
cmn	要	=	00164751-r	BAD	single char, should be 要是	1
cmn	要	=	01066787-a	BAD	single char, should be 主要	1
cmn	要	=	01277426-a	BAD	single char, should be 要点	1
cmn	要	=	06604066-n	BAD	single char, should be 要点	1
cmn	视障	=	05654362-n	BAD	whole word wrongly tagged, needs tokenizing	1
cmn	视障	=	14059663-n	BAD	whole word wrongly tagged, needs tokenizing	1
cmn	解除	=	00338559-v	GOOD	matches dissolve/rescind	1
cmn	詹美	=	80000800-n	GOOD	part of MWE 詹美回教堂 (Jamae Mosque)	2
cmn	计划署	=	08381636-n	BAD	programme/agency, not advisory board	1
cmn	训练所	=	08276720-n	GOOD	matches training institute/school	1
cmn	记忆犹新	=	01040410-a	GOOD	matches unforgettable	1
cmn	论	=	07138085-n	GOOD	matches discourse/treatise sense	1
cmn	论不妥	=	00562909-a	BAD	malformed span, 论 belongs to prior word	1
cmn	设法	=	08441203-n	BAD	"means ""try to"", not law/jurisprudence"	1
cmn	访问	=	01844048-v	GOOD	matches official visit	1
cmn	诚意	=	07512315-n	GOOD	matches sincerity	1
cmn	话	=	00119578-r	BAD	single char, should be 话说回来	1
cmn	说来	=	00041954-r	BAD	meaning from modifier+说来, not alone	1
cmn	说说	=	00962447-v	GOOD	reduplication of 说, still means talk	1
cmn	请求	=	07190693-n	GOOD	matches request	1
cmn	象	=	01636397-v	BAD	single char, should be 想象	2
cmn	象棋界	=	07965937-n	GOOD	matches world/domain sense (chess world)	1
cmn	象棋界	=	80000245-n	GOOD	matches community/group sense	1
cmn	豪饮	=	01171183-v	GOOD	matches drink heavily	1
cmn	负	=	07475364-n	GOOD	matches loss/defeat in score context	1
cmn	负于	=	00204872-v	GOOD	matches lose/be at disadvantage	1
cmn	负有	=	02630871-v	GOOD	matches bear (responsibility)	1
cmn	贸易中心	=	01091905-n	GOOD	compositional trade component	2
cmn	贸易中心	=	02993546-n	GOOD	compositional center component	2
cmn	费时间	=	02267989-v	GOOD	费 matches require/take (time)	1
cmn	赏	=	01218593-n	BAD	single char, should be 观赏	1
cmn	走出	=	02010082-v	GOOD	matches walk away/go away from	1
cmn	赶到	=	00347276-v	GOOD	matches arrive at	1
cmn	起	=	01150475-a	BAD	single char, should be 对不起	2
cmn	起来	=	00713167-v	BAD	particle alone, should be 联系起来	2
cmn	起来	=	02133435-v	BAD	particle alone, meaning from 看起来	2
cmn	超大型	=	01385255-a	GOOD	matches enormous/oversized	1
cmn	趋于	=	00149583-v	GOOD	matches become/tend towards	1
cmn	足	=	00560247-v	BAD	means sufficient, opposite of insufficient	2
cmn	跌入	=	01970826-v	GOOD	matches fall/descend	1
cmn	跑完	=	00484166-v	GOOD	matches finish/complete	1
cmn	跟前	=	00066781-r	GOOD	matches in front of	1
cmn	身心	=	05919263-n	BAD	tokenization error per annotator, needs split	5
cmn	身穿	=	00050652-v	GOOD	matches wear/put on	1
cmn	车	=	02766534-n	BAD	single char too general, should be 儿童车	1
cmn	转到	=	00121678-v	GOOD	matches shift/redirect	1
cmn	转到	=	00549771-v	GOOD	matches turn to (attention)	1
cmn	转折性	=	07417851-n	GOOD	matches turning point/watershed	1
cmn	轴心	=	08171094-n	BAD	metaphorical centrality, not alliance bloc	1
cmn	载	=	02233704-v	BAD	single char, should be 下载	1
cmn	载入	~	01745722-v	GOOD	related to being recorded/published	1
cmn	较 低	=	00393149-r	GOOD	matches low position	1
cmn	辛苦	=	00744916-a	GOOD	matches hard/difficult	1
cmn	辞	=	02382367-v	GOOD	matches resign/quit	1
cmn	边防站	=	08517825-n	GOOD	matches checkpoint	1
cmn	迁回	=	01850315-v	GOOD	matches move/shift back	1
cmn	过	=	00060939-r	UNSURE	"annotator hedges ""similar to"", aspect particle"	116
cmn	过	=	02708420-v	BAD	single char, should be 度过	1
cmn	过足	=	01183573-v	GOOD	matches fill/satisfy craving	1
cmn	过足	=	02336109-a	GOOD	compositional adequate/enough sense	1
cmn	迎击	=	02375131-v	BAD	means counter/repel, not generic engage	1
cmn	迎新	=	02237206-v	GOOD	迎 component matches welcome	3
cmn	迎新	=	15182189-n	GOOD	新年 component matches New Year	3
cmn	还 可以	=	00047534-r	GOOD	还 matches also/in addition	1
cmn	还 有	=	00027384-r	BAD	"existential ""still are"", not concessive however"	3
cmn	还 有	=	00031304-r	GOOD	matches still (continuing condition)	1
cmn	还有	=	02603699-v	GOOD	有 component matches exist	1
cmn	这位	=	77000061-a	GOOD	这 component matches demonstrative this	5
cmn	进修	=	00599992-v	GOOD	matches study/further training	1
cmn	进修生	=	09801864-n	GOOD	matches apprentice/trainee	1
cmn	连锁	=	03001115-n	GOOD	part of MWE 连锁商店 chain store	1
cmn	连锁	=	08057816-n	GOOD	part of MWE 连锁店 chain	5
cmn	送到	=	01437254-v	GOOD	matches send/deliver to	1
cmn	送到	=	02348568-v	GOOD	matches commit/send to institution	1
cmn	送来	=	01438304-v	GOOD	matches deliver	1
cmn	选举战	=	00181781-n	GOOD	matches election	1
cmn	透	=	02198973-v	BAD	single char, should be 看透	1
cmn	通红	=	00395626-a	GOOD	matches flushed red	1
cmn	逼近	=	02053941-v	GOOD	matches approach/draw near	1
cmn	道	=	00043794-r	BAD	"racetrack noun mismatched with ""thence"" adverb"	1
cmn	遮住	=	01582200-v	GOOD	遮 component matches cover/hide	1
cmn	遮光	=	03162297-n	GOOD	matches light-blocking lantern concept	2
cmn	那	=	08731606-n	BAD	"demonstrative ""that"", not Indochina"	1
cmn	那块	=	76100066-x	GOOD	块 classifier fits lawn patch usage	1
cmn	那座	=	76100060-x	GOOD	座 classifier fits large structure	1
cmn	那时候	=	15244650-n	GOOD	时候 component matches moment/point in time	2
cmn	那是	=	77000079-a	BAD	tokenization error, includes copula 是	2
cmn	配	=	01094049-a	GOOD	part of MWE 配有 equipped with	1
cmn	配	=	07580053-n	GOOD	part of MWE 配菜 side dish	5
cmn	酒会	=	08307589-n	GOOD	matches gathering/reception	1
cmn	酿	=	80000563-n	BAD	needs split, 酿 alone not yong tau fu	9
cmn	醉倒	=	00797299-a	GOOD	matches drunk/intoxicated	1
cmn	里	=	09526703-n	GOOD	part of MWE 卡里 Kali name	1
cmn	里	=	13651218-n	GOOD	part of MWE 英里 mile	1
cmn	重创	=	00651039-a	BAD	tokenization error per annotator	2
cmn	重创	=	07313636-n	BAD	tokenization error per annotator	2
cmn	铁锨	=	04208210-n	GOOD	matches shovel	1
cmn	锵锵	=	07380144-n	GOOD	matches repeating clang noise	1
cmn	锵锵作响	=	02176268-v	GOOD	作响 component matches make sound	1
cmn	长 时间	=	15242955-n	GOOD	matches long time, already in lemma list	1
cmn	门下	=	10485989-n	GOOD	matches protege/disciple	2
cmn	闯	=	02058994-v	GOOD	matches rush/speed	1
cmn	阵痛	=	07494363-n	GOOD	matches painfulness (figurative)	1
cmn	降到	=	00432683-v	GOOD	降 component matches drop in value	1
cmn	险要	=	01145151-a	GOOD	matches precipitous/dangerously steep	1
cmn	随心	=	00210651-r	GOOD	matches freely	1
cmn	隔	=	00181075-r	GOOD	matches apart (distance/time)	1
cmn	难	=	00749040-a	BAD	single char, should be 为难	1
cmn	非专业	=	01870636-a	GOOD	matches amateur/unskilled	1
cmn	非政府	=	01814711-a	BAD	annotator flags: means non-governmental, opposite sense	1
cmn	面面观	=	90000225-n	GOOD	part of MWE named publication	4
cmn	顶	=	00094893-r	GOOD	matches against the wind	2
cmn	顶层	=	03365592-n	BAD	means top floor/level, not flooring surface	1
cmn	顶楼	=	03365991-n	BAD	tokenization error per annotator	3
cmn	顶楼	=	13940456-n	BAD	tokenization error per annotator	3
cmn	项目	=	06392001-n	BAD	means item/project, not section of composition	3
cmn	顿觉	~	00092814-r	GOOD	顿 relates to momentarily	1
cmn	领到	=	01999798-v	GOOD	领 component matches lead/guide	1
cmn	领到	=	02005948-v	GOOD	到 component matches arrive/reach	1
cmn	风波	=	13933560-n	GOOD	matches crisis (figurative storm)	1
cmn	风物	=	08646902-n	GOOD	matches landscape/scenery	1
cmn	飘溢	=	01874178-v	GOOD	matches waft	1
cmn	飞往	=	01840238-v	GOOD	matches fly to	2
cmn	飞来飞去	=	01840238-v	GOOD	matches fly (reduplicated form)	1
cmn	食	=	07809096-n	GOOD	part of MWE 食材 ingredient	7
cmn	食用	=	01168468-v	GOOD	matches eat	1
cmn	饺	=	80000495-n	BAD	single char, should be 米饺(子)	1
cmn	馆	=	80000130-n	GOOD	part of MWE named gallery	1
cmn	馆	~	01462625-a	GOOD	part of idiom 镇馆之宝, related treasured	1
cmn	馆	~	13810141-n	GOOD	part of idiom 镇馆之宝, related highlight	1
cmn	首	=	01277426-a	GOOD	matches chief/primary in 为首	1
cmn	首家	=	01010862-a	GOOD	首 component matches first	2
cmn	首次	=	01010862-a	GOOD	matches first	1
cmn	首脑	=	08312359-n	BAD	means leader (person), not summit meeting	1
cmn	高	=	00625055-a	GOOD	matches significant/substantial degree	1
cmn	高出	=	01555133-a	GOOD	matches more than	1
cmn	高知	=	08626947-n	BAD	place name alone, missing 县 prefecture suffix	1
cmn	高知县	=	08626947-n	GOOD	matches prefecture, full form	2
cmn	高窗户	=	02385102-a	GOOD	高 component matches tall/high	1
cmn	高窗户	=	04587648-n	GOOD	窗户 component matches window	1
cmn	鱼头	=	90000032-n	GOOD	part of MWE 咖喱鱼头 named dish	8
cmn	鱼干	=	07783667-n	BAD	generic dried fish, missing 凤尾 anchovy specifier	1
cmn	鲁玛	=	90000211-n	BAD	half of name, should be 鲁玛比比 full name	7
cmn	黑	=	07603722-n	BAD	single char, should be joined 黑巧克力	1
cmn	黑	=	07825972-n	BAD	single char, should be joined 黑酱油	1
cmn	黑压压	=	00299753-r	GOOD	matches densely/thickly	1
cmn	１日	<	15157225-n	BAD	plain calendar date, not observance day	1
cmn	１００年	=	02196107-a	GOOD	100 component matches hundred	1
cmn	１００年	=	15203791-n	GOOD	年 component matches year	1
cmn	１１日	=	15155220-n	GOOD	日 matches generic 24-hour day unit	2
cmn	２５日	=	15155220-n	GOOD	日 matches generic 24-hour day unit	1
cmn	３０日	<	15157225-n	BAD	plain calendar date, not observance day	1
cmn	３０日	~	02205838-a	GOOD	matches ordinal thirtieth	1
cmn	３１日	<	15157225-n	BAD	plain calendar date, not observance day	3
cmn	４日	<	15157225-n	BAD	plain calendar date, not observance day	2
cmn	５成	=	13817526-n	GOOD	成 matches percentage, already in lemma list	1
cmn	５日	<	15157225-n	BAD	plain calendar date, not observance day	1
cmn	９月	=	15212739-n	GOOD	matches September, already in lemma list	1
cmn	ｃ重油	=	80000421-n	GOOD	compositional C + heavy oil	1
cmn	ｍ	=	06832464-n	GOOD	literally is the Roman letter M	2
eng	'll	<	00698398-v	BAD	'll is contraction of will, not hyponym	1
eng	'll	~	00698398-v	BAD	'll is same word will, not related synset	1
eng	'm	=	02604760-v	GOOD	'm is contraction of be/am copula	1
eng	're	=	02604760-v	GOOD	're is contraction of be/are copula	2
eng	's	=	02603699-v	GOOD	existential there's fits be extant sense	5
eng	's	=	02604760-v	GOOD	copular 's fits quality-of-being sense	5
eng	's	=	02616386-v	BAD	attributive 's not identity sense of be	2
eng	10pm	=	07309599-n	BAD	clock time, not occasion/instance sense	1
eng	11am	=	07309599-n	BAD	clock time, not occasion/instance sense	1
eng	3	=	10709131-n	BAD	numeral 3 does not mean third party	2
eng	350	<	05121418-n	GOOD	350 is a hyponym of number	1
eng	360	~	13611207-n	BAD	compositional 360-degree, annotator flags split	1
eng	4d	~	06618937-n	GOOD	4D theatre lexicalised, related to 3D movie	1
eng	@	=	09448945-n	BAD	@ means at, not spatial stretch	1
eng	Islands	=	09316454-n	GOOD	plural of island, same sense	1
eng	a	<	00336564-a	BAD	wrong POS, article not adjective indefinite	1
eng	a	<	02186338-a	GOOD	standard PWN mapping article a to one	23
eng	a	=	00033615-n	BAD	article a is not variant of amount	1
eng	a	=	00138508-v	BAD	article a tagged as verb turn/reverse	1
eng	a	=	01677623-a	BAD	article a not intensifier sense of one	1
eng	a	=	01930874-v	BAD	article a tagged as verb drive, wrong POS	3
eng	a	=	02186338-a	GOOD	standard PWN synonym article a with one	20
eng	a	=	02267686-n	BAD	article a not pronoun whatever/any sense	1
eng	a	=	05870055-n	BAD	article a mistagged as pronoun one noun	10
eng	a	=	13742573-n	BAD	article a not the numeral 1 noun	7
eng	a	~	06831177-n	GOOD	capital A grade sense matches letter A	1
eng	a little	=	13774404-n	GOOD	idiomatic quite a little means large amount	1
eng	a_kind_of	=	04746262-n	GOOD	a kind of is lexicalised, means sort	1
eng	a_lot	=	01553629-a	GOOD	a lot is idiomatic for much	1
eng	about	=	01024190-v	BAD	preposition about tagged as verb mention	1
eng	about	=	02676054-v	BAD	preposition about tagged as verb, wrong POS	1
eng	about	=	02677097-v	BAD	preposition about tagged as verb, wrong POS	1
eng	about	=	05820170-n	BAD	preposition about tagged as noun regard	1
eng	about	~	02676054-v	BAD	preposition about tagged as verb, wrong POS	2
eng	accord	=	00231765-r	GOOD	of one's own accord lexicalised adverb phrase	1
eng	accord	=	00698398-v	BAD	accord is noun in phrase, not verb will	1
eng	accord	~	00037396-n	BAD	accord part of adverbial idiom, not action noun	1
eng	account	=	80001259-v	GOOD	on account of matches custom lemma list	1
eng	addition	=	00046167-r	GOOD	in addition matches adverb sense exactly	2
eng	after	=	01144657-v	GOOD	after the convict fits hunt/pursue sense	1
eng	after	=	01188725-v	GOOD	be after fits want/desire sense	1
eng	after	=	02153709-v	GOOD	be after fits search/seek sense	1
eng	after-shocks	=	07429637-n	GOOD	exact match to aftershock definition	1
eng	aftershocks	=	11411610-n	BAD	literal tremors, not figurative aftermath sense	1
eng	against	~	00198147-a	BAD	preposition against mistagged as adjective front	1
eng	ah	<	06326406-n	GOOD	Singlish discourse particle correctly typed	1
eng	ah	=	02418686-v	BAD	ah wrongly linked to play, word mixup	1
eng	all	=	00053004-r	GOOD	all is head of MWE all right	1
eng	all	=	00056729-r	GOOD	all is head of MWE at all	1
eng	all	=	00151305-r	GOOD	all is head of MWE after all	1
eng	all-female	~	01478182-a	GOOD	all-female compound related to female adj	1
eng	all-women's	~	10787470-n	GOOD	all-women's related to woman noun	1
eng	amid	=	00329831-a	BAD	preposition amid mistagged as adjective central	1
eng	amid	=	00331030-a	BAD	preposition amid mistagged as adjective medial	1
eng	amid	~	08524262-n	BAD	preposition amid mistagged as noun core	1
eng	among	=	00110815-r	BAD	among means amid group, not inside/within	1
eng	an	=	13649791-n	BAD	annotator flags an and inch should split	1
eng	and	<	06325826-n	GOOD	and correctly exemplifies conjunction sense	1
eng	and	=	00028797-r	BAD	and alone does not mean however	1
eng	and	=	00040494-r	BAD	and does not fit archaic withal sense	1
eng	and	=	00047534-r	GOOD	sentence-initial and fits additive sense	2
eng	and	=	00053004-r	BAD	and does not mean all right/agreement	1
eng	and	=	00061203-r	BAD	and alone does not mean afterward	1
eng	and	=	00117620-r	GOOD	and fits and-then/and-so continuative sense	1
eng	and so	=	80001505-r	BAD	synset defined for Japanese particle, mismatched	2
eng	animate	=	00804695-a	GOOD	animated fits lively/full of life sense	1
eng	anti-design	~	03178782-n	GOOD	anti-design lexicalised, related to design noun	1
eng	any	=	00027258-r	GOOD	any is head of MWE in any way	1
eng	anywhere	=	00056729-r	GOOD	anywhere near fits at-all intensifier idiom	1
eng	appear	=	00426301-v	GOOD	re-appeared matches appear-again sense	1
eng	are	=	02603699-v	BAD	copular are is quality-of-being not existential	1
eng	arm	=	05129928-n	BAD	clemma arm mismatched, no arm's length evidence	1
eng	arm	=	07472808-n	GOOD	arms race idiom fits comment intent	1
eng	art	=	00935005-n	GOOD	arts head of MWE arts and crafts	1
eng	art	=	01815838-a	BAD	art noun mistagged as adjective popular	1
eng	art	=	06153846-n	GOOD	arts fits humanities/liberal arts sense	1
eng	art	=	06157326-n	GOOD	arts fits performing arts, dance context	1
eng	as	=	00017881-r	GOOD	as fits temporal even-as/just-as sense	1
eng	as	=	00033922-r	GOOD	as soon as MWE fits soon/shortly sense	1
eng	as	=	00064946-r	BAD	as-while is not standalone meanwhile adverb	1
eng	as	=	00098959-r	GOOD	so far as MWE fits extent sense	1
eng	as	=	00101323-r	GOOD	as far as MWE fits degree/far sense	1
eng	as	=	00118363-r	GOOD	as in so as to fits lemma list	1
eng	as	=	00120095-r	GOOD	as fits at-the-same-instant sense	1
eng	as	=	00159040-r	GOOD	as fits such-as example sense	1
eng	as	=	00414179-n	BAD	as is conjunction, not noun habit	1
eng	as	=	00504431-a	GOOD	strike as fits comparable-to sense	1
eng	as	=	00950431-v	BAD	causal as mistagged as verb consider	1
eng	as	=	01410606-a	BAD	comparative as mistagged as adjective similar	1
eng	as	=	02071420-a	BAD	insufficient context, wrong POS for as	1
eng	as	=	13941125-n	BAD	as far as mistagged as noun, wrong POS	2
eng	as	=	15133621-n	BAD	annotator notes only hypernym, not synonym	1
eng	as	=	15246353-n	BAD	annotator notes only similar, not synonym	3
eng	as	=	80001505-r	BAD	annotator flags MWE as well as more suitable	2
eng	as a matter of fact	=	05818620-n	GOOD	idiom matches matter-of-fact sense exactly	1
eng	as a rule	<	05846054-n	GOOD	as a rule lexicalised, hyponym of rule	1
eng	as_as	=	00022131-r	GOOD	as...as correlative matches degree sense	1
eng	assam	=	07764630-n	GOOD	assam is regional term for tamarind	1
eng	assert	=	02519055-v	BAD	needs reflexive asserted_itself, plain assert mismatched	1
eng	at	=	00049220-r	GOOD	at present MWE fits now sense	2
eng	at	=	00056729-r	GOOD	at all MWE fits intensifier sense	1
eng	at	=	00104345-r	GOOD	at least MWE fits not-less-than sense	1
eng	at	=	00734054-v	UNSURE	annotator comment trails off, undecided	1
eng	at	=	00877127-n	GOOD	look at MWE fits looking-at sense	2
eng	at	=	01681477-a	BAD	locative at mistagged as adjective placed	1
eng	at	=	02126430-a	BAD	preposition at mistagged as adjective placed	1
eng	at	=	02130300-v	BAD	annotator says MWE inaccurate, at should be x	1
eng	at	=	02131777-v	BAD	annotator says at should be tagged as x	2
eng	at	=	02427103-v	BAD	preposition at mistagged as verb establish	1
eng	at	=	02487573-v	BAD	annotator says needs call_at MWE instead	1
eng	at	=	77000084-n	BAD	weak vague link, at is not where-pronoun	1
eng	at	=	80000823-r	GOOD	custom synset fits temporal at that moment	1
eng	at work	=	00719705-n	GOOD	at work idiom fits job/task sense	1
eng	attach to	=	01354673-v	GOOD	attach to matches connect/fasten sense	1
eng	away	=	00048739-r	BAD	ordered away means depart, not immediately	2
eng	b	=	00102881-r	GOOD	list label b matches secondly ordinal sense	1
eng	back	=	01904120-v	GOOD	fall back MWE matches move-back sense	1
eng	background-daemon	~	06568978-n	GOOD	background-daemon is a kind of program	1
eng	background-daemon	~	07285191-n	GOOD	background-daemon relates to background sense	1
eng	bad	=	00231252-a	GOOD	Worse is comparative form matching worse synset	1
eng	bad-off	=	02022953-a	GOOD	bad-off matches poor/little money sense	1
eng	bang	=	07376539-n	GOOD	banging noise matches noun sense exactly	1
eng	bankrolled	=	02215506-v	GOOD	bankrolled elections fits fund sense	1
eng	bankrolled	=	02217266-v	GOOD	bankrolled fits finance sense, close synonym	2
eng	be	=	00149583-v	BAD	was a solicitor is stative, not become/change	1
eng	be	=	00893435-v	BAD	copula is mistagged as verb explain/excuse	1
eng	be	=	00931852-v	GOOD	that is idiom fits mean/signify sense	1
eng	be	=	02671613-v	GOOD	be a pure MTA fits function-as sense	2
eng	be	=	06739990-n	BAD	copula is mistagged as noun reason	1
eng	be due	=	00929916-a	GOOD	were due matches scheduled-to-arrive sense	1
eng	be on	=	02604760-v	BAD	annotator says was alone, not was on	1
eng	bear upon	=	01990281-v	GOOD	borne upon fits come-to-surface imagery	1
eng	bear-like	~	02131653-n	GOOD	bear-like compound related to bear mammal	1
eng	before	<	00060939-r	BAD	annotator flags before is preposition, skip	1
eng	before	=	02407766-v	BAD	preposition before mistagged as verb precede	1
eng	before	=	80000821-r	GOOD	custom synset fits before-meaning-until sense	1
eng	behind	=	08625846-n	BAD	preposition behind mistagged as noun rear	1
eng	bet	~	06686467-n	GOOD	coppers his bets relates to safety net idiom	1
eng	beta-testers	=	00007846-n	BAD	beta-tester is hyponym of person, not synonym	1
eng	beta-testers	=	00877938-a	BAD	beta-testers noun mistagged as adjective beta	1
eng	beta-testers	=	02531625-v	BAD	beta-testers noun mistagged as verb test	1
eng	beta-testers	=	09912995-n	GOOD	beta-testers fits checker/one-who-checks sense	1
eng	beta-testers	~	00877938-a	GOOD	beta-testers reasonably related to beta stage	1
eng	big	=	01383756-a	GOOD	bigger matches large/bigger comparative sense	1
eng	bigwigs	=	10748620-n	GOOD	political bigwigs matches VIP/dignitary sense	1
eng	bird	=	02015598-v	BAD	bird is noun, flown carries the leave-verb sense	1
eng	black-clothed	=	00456739-a	BAD	annotator says should split black and clothed	1
eng	blackletter	=	06825120-n	BAD	annotator notes only hypernym, not synonym	1
eng	blank	=	00609100-v	GOOD	blanked matches unable-to-remember sense exactly	1
eng	bone	=	05273822-n	GOOD	facial covering context supports cheekbone sense	1
eng	boom	~	00310386-v	BAD	the boom is nominal usage, tagged to verb sense	1
eng	bought	=	02207206-v	GOOD	Bought matches obtain-by-purchase sense	1
eng	boutique	=	02277607-a	GOOD	boutique hotel fits specialized sense	1
eng	break	=	00289082-a	GOOD	broken matches physically-separated adjective	1
eng	break into	=	00289082-a	BAD	conflates phrasal verb with simple broken adjective	1
eng	break into	=	02570684-v	GOOD	broken into matches unauthorized-entry sense	1
eng	break into	~	00289082-a	GOOD	related to broken, plausible weaker relation	1
eng	bring back	=	02426799-v	GOOD	bring back matches restore/reinstate sense	1
eng	brown-nosing	=	00880978-v	GOOD	brown-nosing matches fawn/toady sense exactly	1
eng	buggy	=	01431112-a	BAD	buggy software means flawed, not absurd	1
eng	build	=	02913152-n	GOOD	build/building matches structure sense	3
eng	bury	=	00601043-v	GOOD	buried fits metaphorical immerse/absorb sense	1
eng	business	=	03349892-n	BAD	business class differs from first class	1
eng	but	=	00028797-r	GOOD	but fits contrastive however sense	7
eng	but	=	00118032-r	BAD	but how is contrastive, not consequential then	1
eng	but	=	00119139-r	GOOD	but fits however/though contrastive sense	1
eng	but	=	00615774-v	GOOD	but matches except/exclude sense, confirmed variant	1
eng	by	<	00409709-r	GOOD	by the side fits near/close sense	1
eng	by	=	00043794-r	GOOD	lost nothing by them fits from/thereof sense	1
eng	by	=	00068368-r	BAD	seized by the collar is instrumental, not forward motion	1
eng	by	=	01026095-v	BAD	preposition by mistagged as verb identify/name	1
eng	by_hand	<	00172710-n	BAD	example shows many hands, not by-hand idiom	1
eng	can	=	00001740-a	GOOD	modal can matches able sense semantically	3
eng	can	=	00306663-a	GOOD	modal can matches able/capacity sense	1
eng	can	=	02423183-v	BAD	annotator says ability sense fits better than permit	2
eng	candle	=	00621627-n	BAD	bare word does not mean effort; idiom	1
eng	cap	=	00715074-v	GOOD	capping = concluding, matches sense	1
eng	carrot cake	=	04081281-n	BAD	food dish tagged to restaurant synset	1
eng	carrée	=	00031264-n	BAD	bare word isn't group; needs partie carrée	1
eng	caseload	<	00581241-n	GOOD	caseload is specific type of workload	1
eng	casually	=	00147876-r	BAD	casually means relaxed manner, not easily	1
eng	catch up	=	01212572-v	GOOD	caught up lamp = seized/grabbed it	1
eng	ceasefire	=	13970912-n	GOOD	direct synonym of armistice/truce	1
eng	chanel	=	02024928-a	BAD	brand name, not an adjective	1
eng	char	=	07866723-n	BAD	char kway teow, not spring roll	1
eng	character	=	06357078-n	BAD	single char not ASCII character set	1
eng	character_set	=	06357078-n	GOOD	matches ASCII character set concept	1
eng	check_it_out	=	02131279-v	GOOD	check out = examine/inspect	1
eng	chef 's table	<	04379964-n	GOOD	lexicalized hyponym of table	1
eng	chill	=	00026385-v	GOOD	chill out = relax	1
eng	chill	=	01779165-v	BAD	needs MWE send chills down spine	1
eng	chomp chomp	=	04081281-n	GOOD	named food centre as eatery instance	1
eng	circumstances	=	13927383-n	BAD	annotator prefers other synset instead	1
eng	circumstances	=	13942875-n	GOOD	direct match, preferred sense	1
eng	class	=	00228294-a	UNSURE	unclear interjection use, confusing comment	1
eng	class	=	03349892-n	BAD	context is business class, not first class	1
eng	classically	=	00476807-r	GOOD	classically = traditionally, fits	1
eng	close	=	00407802-r	GOOD	sense matches closer, lemma-form note only	1
eng	close to	=	00444519-a	GOOD	close to = near, direct match	2
eng	closed-source	=	03093695-a	BAD	antonym of open-source, flagged by annotator	2
eng	clothe	=	03051540-n	BAD	clothe is verb-only, not a noun	3
eng	co-developers	<	09935434-n	GOOD	hyponym of collaborator reasonable	1
eng	co-developers	=	09815790-n	BAD	helper implies subordinate, not equal partner	1
eng	co-developers	=	09935434-n	GOOD	co-developer approx collaborator in context	1
eng	coach-	=	03055857-n	GOOD	orthographic variant of coach house	1
eng	cobbler	=	15039568-n	BAD	cobbler is a person, not shoe polish	1
eng	cohabiter	=	10188957-n	GOOD	direct synonym of housemate	1
eng	cohesively	~	14420464-n	GOOD	legit adverb-noun relation to cohesion	1
eng	collect	=	00530354-a	GOOD	calm and collected matches	1
eng	come	=	00048374-n	GOOD	coming (noun) = arrival, per comment	1
eng	come	=	01970826-v	GOOD	came down = descended	1
eng	come	=	80000678-v	GOOD	come over = begin to affect	1
eng	come over	~	01849221-v	GOOD	came over = approached/visited	1
eng	come to	~	00542120-v	GOOD	come to a conclusion = reach a state	2
eng	compensatory	~	00259643-n	GOOD	adjective relates to compensation noun	1
eng	concern	=	01515692-a	BAD	concern is noun/verb, not adjective	1
eng	consituency	=	08238156-n	GOOD	spelling variant of constituency	1
